# Ang	-new/-old	+new/+old
# N	N	N
   0	0.999552	0.997766
0.09	0.998848	0.998898
0.18	0.99889	0.998913
0.27	0.99883	0.998845
0.36	0.99877	0.99876
0.45	0.998811	0.998794
0.54	0.998852	0.998809
0.63	0.998794	0.998825
0.72	0.998834	0.998857
0.81	0.998873	0.998872
 0.9	0.998912	0.998886
0.99	0.998838	0.9989
1.08	0.998876	0.998914
1.17	0.998821	0.998741
1.26	0.998658	0.998664
1.35	0.998589	0.998572
1.44	0.998504	0.998464
1.53	0.998364	0.998407
1.62	0.998312	0.998268
1.71	0.998106	0.998095
 1.8	0.997997	0.998017
1.89	0.998045	0.997983
1.98	0.997811	0.997789
2.07	0.997694	0.997694
2.16	0.997575	0.997594
2.25	0.997576	0.997599
2.34	0.997472	0.997514
2.43	0.997335	0.997307
2.52	0.99723	0.997205
2.61	0.996912	0.996907
 2.7	0.996878	0.996893
2.79	0.99677	0.996789
2.88	0.996753	0.996791
2.97	0.996628	0.996686
3.06	0.996626	0.996597
3.15	0.996446	0.99643
3.24	0.996289	0.996341
3.33	0.996207	0.996145
3.42	0.996175	0.996181
3.51	0.996018	0.996001
 3.6	0.995844	0.995912
3.69	0.99567	0.995624
3.78	0.995422	0.995445
3.87	0.995465	0.995481
3.96	0.995308	0.995284
4.05	0.99515	0.995121
4.14	0.995094	0.995131
4.23	0.994952	0.994958
4.32	0.994934	0.994893
4.41	0.994917	0.994919
 4.5	0.994792	0.994763
4.59	0.994775	0.99479
4.68	0.994575	0.994543
4.77	0.994558	0.994586
4.86	0.994416	0.994488
4.95	0.99449	0.99444
5.04	0.994507	0.994436
5.13	0.994111	0.994132
5.22	0.99413	0.994152
5.31	0.993827	0.993866
 5.4	0.993846	0.993795
5.49	0.993866	0.993815
5.58	0.993381	0.993406
5.67	0.993418	0.993443
5.76	0.993437	0.99348
5.85	0.993011	0.992964
5.94	0.993031	0.992985
6.03	0.992961	0.993005
6.12	0.99289	0.992936
6.21	0.992357	0.992399
 6.3	0.992389	0.99239
6.39	0.992422	0.992473
6.48	0.991809	0.991837
6.57	0.991749	0.991827
6.66	0.991781	0.991744
6.75	0.991738	0.991752
6.84	0.991861	0.991851
6.93	0.991243	0.991192
7.02	0.991182	0.991182
7.11	0.991179	0.991181
 7.2	0.991187	0.99121
7.29	0.99056	0.990496
7.38	0.990476	0.990508
7.47	0.9905	0.990537
7.56	0.990508	0.990456
7.65	0.990533	0.990485
7.74	0.990482	0.990514
7.83	0.989918	0.989936
7.92	0.9899	0.989957
8.01	0.989883	0.989902
 8.1	0.989957	0.989923
8.19	0.990049	0.989978
8.28	0.989982	0.990037
8.37	0.989485	0.989473
8.46	0.989461	0.989456
8.55	0.989419	0.98944
8.64	0.989487	0.989423
8.73	0.989445	0.989407
8.82	0.989404	0.98939
8.91	0.98945	0.989388
   9	0.988937	0.988942
9.09	0.988956	0.988937
9.18	0.988993	0.988948
9.27	0.989012	0.988942
9.36	0.988939	0.988954
9.45	0.988958	0.988948
9.54	0.988994	0.988959
9.63	0.989014	0.988953
9.72	0.988593	0.988601
9.81	0.988613	0.988612
 9.9	0.988632	0.988607
9.99	0.988619	0.988584
10.08	0.988668	0.988649
10.17	0.988624	0.988639
10.26	0.988673	0.988611
10.35	0.988647	0.988676
10.44	0.988603	0.988649
10.53	0.988653	0.988621
10.62	0.98817	0.988155
10.71	0.988219	0.98822
10.8	0.988193	0.988192
10.89	0.988242	0.988165
10.98	0.988198	0.98823
11.07	0.988155	0.988203
11.16	0.988204	0.988175
11.25	0.988178	0.988165
11.34	0.988227	0.98823
11.43	0.988183	0.988203
11.52	0.988232	0.988175
11.61	0.988189	0.98824
11.7	0.986972	0.987023
11.79	0.987021	0.986995
11.88	0.986978	0.986968
11.97	0.987027	0.987033
12.06	0.987001	0.987006
12.15	0.98705	0.986978
12.24	0.987007	0.98706
