# norm1   norm2  g21_pred   casA_pred   g21_diff   casA_diff   g21_chisq   casA_chisq
0.0 0.0 0.600953 0.025094 0.1108 -0.1957 3.7286 0.0009
0.0 0.01 0.59498 0.024845 0.0998 -0.2037 3.0227 0.001
0.0 0.02 0.589007 0.024597 0.0887 -0.2116 2.3908 0.0011
0.0 0.03 0.583034 0.024348 0.0777 -0.2196 1.8329 0.0012
0.0 0.04 0.577062 0.024099 0.0667 -0.2276 1.349 0.0013
0.0 0.05 0.571089 0.02385 0.0556 -0.2356 0.9391 0.0013
0.0 0.06 0.565116 0.023602 0.0446 -0.2435 0.6033 0.0014
0.0 0.07 0.559143 0.023353 0.0335 -0.2515 0.3415 0.0015
0.0 0.08 0.55317 0.023104 0.0225 -0.2595 0.1536 0.0016
0.0 0.09 0.547197 0.022855 0.0115 -0.2675 0.0398 0.0017
0.0 0.1 0.541224 0.022607 0.0004 -0.2754 0.0001 0.0018
0.0 0.11 0.535251 0.022358 -0.0106 -0.2834 0.0343 0.002
0.0 0.12 0.529279 0.022109 -0.0217 -0.2914 0.1425 0.0021
0.0 0.13 0.523306 0.021861 -0.0327 -0.2993 0.3248 0.0022
0.0 0.14 0.517333 0.021612 -0.0437 -0.3073 0.5811 0.0023
0.0 0.15 0.51136 0.021363 -0.0548 -0.3153 0.9113 0.0024
0.0 0.16 0.505387 0.021114 -0.0658 -0.3233 1.3156 0.0025
0.0 0.17 0.499414 0.020866 -0.0769 -0.3312 1.794 0.0027
0.0 0.18 0.493441 0.020617 -0.0879 -0.3392 2.3463 0.0028
0.0 0.19 0.487468 0.020368 -0.0989 -0.3472 2.9726 0.0029
0.0 0.2 0.481496 0.020119 -0.11 -0.3551 3.673 0.0031
0.0 0.21 0.475523 0.019871 -0.121 -0.3631 4.4474 0.0032
0.0 0.22 0.46955 0.019622 -0.1321 -0.3711 5.2958 0.0034
0.0 0.23 0.463577 0.019373 -0.1431 -0.3791 6.2182 0.0035
0.0 0.24 0.457604 0.019124 -0.1542 -0.387 7.2146 0.0036
0.0 0.25 0.451631 0.018876 -0.1652 -0.395 8.285 0.0038
0.0 0.26 0.445658 0.018627 -0.1762 -0.403 9.4295 0.004
0.0 0.27 0.439685 0.018378 -0.1873 -0.411 10.648 0.0041
0.0 0.28 0.433713 0.018129 -0.1983 -0.4189 11.9404 0.0043
0.0 0.29 0.42774 0.017881 -0.2094 -0.4269 13.3069 0.0044
